pid,stage,projectname,keywords,country,location,sector,subsector,totalbudget,financialstructure,eststart,estcompletion,developer,sponsor,lat,lng,geocode
3792,planning,LPRW Dawson-Boyd Water Source Projects,"water,pipeline,MN",United States,"Dawson, MN",Water,Industrial Water (Treatment/Re-use),14421,Public,2020-06-01,2022-06-01,MN Public Facilities Authority,MN State Government,44.932738,-96.054481,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Dawson, MN""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Dawson"",""adminArea5Type"":""City"",""adminArea4"":""Lac qui Parle County"",""adminArea4Type"":""County"",""adminArea3"":""MN"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":""56232"",""geocodeQualityCode"":""A5XAX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":44.932738,""lng"":-96.054481},""displayLatLng"":{""lat"":44.932738,""lng"":-96.054481}}]}]}"
3518,planning,SH 105,"transport, highways,Texas",United States,"Conroe, Texas",Transport,Highways,175,Public,2020-06-01,2024-04-01,,Texas DOT,30.311877,-95.456051,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Conroe, Texas United States""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Conroe"",""adminArea5Type"":""City"",""adminArea4"":""Montgomery County"",""adminArea4Type"":""County"",""adminArea3"":""TX"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":"""",""geocodeQualityCode"":""A5XAX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":30.311877,""lng"":-95.456051},""displayLatLng"":{""lat"":30.311877,""lng"":-95.456051}}]}]}"
3699,procurement,Fort Wayne Airport Expansion,"fort wayne,indiana,airport,IN",United States,"Fort Wayne International, Avalon, IN, US",Transport,Airports & Logistics,35,Private,2021-03-01,1111-11-11,,Fort Wayne-Allen County Airport Authority,40.97678774053030,-85.19142150878910,"{""info"":{""statuscode"":0,""copyright"":{""text"":""© 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""© 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""latLng"":{""lat"":40.97678774053034,""lng"":-85.19142150878908}},""locations"":[{""street"":""Fort Wayne International"",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Avalon"",""adminArea5Type"":""City"",""adminArea4"":"""",""adminArea4Type"":""County"",""adminArea3"":""IN"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":""46809"",""geocodeQualityCode"":""P1AAA"",""geocodeQuality"":""POINT"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":40.97586,""lng"":-85.191422},""displayLatLng"":{""lat"":40.97586,""lng"":-85.191422}}]}]}"
3879,planning,Delaware - US 36 / SR 37 / IR 71,"Delaware,US 36,SR 37,IR 71,I-71,SR 36,US 37,Ohio,OH,DOT",United States,"Sunbury, Ohio",Transport,Highways,34,Public,2021-10-01,2023-05-01,,ODOT,40.242562,-82.859067,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Sunbury, Ohio""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Sunbury"",""adminArea5Type"":""City"",""adminArea4"":""Delaware County"",""adminArea4Type"":""County"",""adminArea3"":""OH"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":"""",""geocodeQualityCode"":""A5XAX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":40.242562,""lng"":-82.859067},""displayLatLng"":{""lat"":40.242562,""lng"":-82.859067}}]}]}"
2891,planning,Cape Cod Canal Bridges,"cape cod,bridge,MA",United States,"Cape Cod, MA",Transport,Bridges,1000,PPP,2021-06-01,2023-06-01,US Army Corps of Engineers,Massachusetts Department of Transportation,41.671868,-70.349923,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2019 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2019 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Cape Cod, MA""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":"""",""adminArea5Type"":""City"",""adminArea4"":""Barnstable County"",""adminArea4Type"":""County"",""adminArea3"":""MA"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":"""",""geocodeQualityCode"":""A4XXX"",""geocodeQuality"":""COUNTY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":41.671868,""lng"":-70.349923},""displayLatLng"":{""lat"":41.671868,""lng"":-70.349923}}]}]}"
3483,planning,FM 16 Extension,"roadway,TX",United States,"Lindale, TX",Transport,Other,25,Public,1111-11-11,2023-06-01,,TXDOT,32.515697,-95.4094,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Lindale, TX United States""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Lindale"",""adminArea5Type"":""City"",""adminArea4"":""Smith County"",""adminArea4Type"":""County"",""adminArea3"":""TX"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":"""",""geocodeQualityCode"":""A5XAX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":32.515697,""lng"":-95.4094},""displayLatLng"":{""lat"":32.515697,""lng"":-95.4094}}]}]}"
3698,planning,I-71/U.S. 36/SR 37 interchange expansion,"ohio,road,interchange,OH",United States,"Sunbury, Ohio",Transport,Highways,34,Public,2021-11-01,2023-06-01,,Ohio DOT,40.242562,-82.859067,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Sunbury, Ohio""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Sunbury"",""adminArea5Type"":""City"",""adminArea4"":""Delaware County"",""adminArea4Type"":""County"",""adminArea3"":""OH"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":"""",""geocodeQualityCode"":""A5XAX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":40.242562,""lng"":-82.859067},""displayLatLng"":{""lat"":40.242562,""lng"":-82.859067}}]}]}"
3527,planning,Nolana Loop Project,"roadway,TX",United States,"Hidalgo, TX",Transport,Other,274,PPP,2021-06-01,2024-06-01,,TXDOT,26.100355,-98.263068,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Hidalgo, TX""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Hidalgo"",""adminArea5Type"":""City"",""adminArea4"":""Hidalgo County"",""adminArea4Type"":""County"",""adminArea3"":""TX"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":""78557"",""geocodeQualityCode"":""A5XAX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":26.100355,""lng"":-98.263068},""displayLatLng"":{""lat"":26.100355,""lng"":-98.263068}}]}]}"
3519,planning,Campo Wind Project with Boulder Brush Facilities,"energy, transmission, generation, renewable,CA,California",United States,"Campo, California",Energy,Generation — Renewables,1000,Private,2021-06-01,2024-06-01,TerraGen Development Company LLC,San Diego County,37.897426,-122.465251,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Campo, California United States""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""El Campo"",""adminArea5Type"":""City"",""adminArea4"":""Marin County"",""adminArea4Type"":""County"",""adminArea3"":""CA"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":""94920"",""geocodeQualityCode"":""A5XXX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":37.897426,""lng"":-122.465251},""displayLatLng"":{""lat"":37.897426,""lng"":-122.465251}}]}]}"
3648,planning,Mill Creek Trunk Improvements and Equalization Facility,"pump stationn,Nashville,Tennessee,TN",United States,"Mill Creek, Tennessee",Water,Waste Water,177,Public,2023-11-01,2026-06-01,,Metro Water Services (Nashville),35.95457,-86.661234,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Mill Creek, Tennessee""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Mill Creek"",""adminArea5Type"":""City"",""adminArea4"":""Williamson County"",""adminArea4Type"":""County"",""adminArea3"":""TN"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":""37135"",""geocodeQualityCode"":""A5XAX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":35.95457,""lng"":-86.661234},""displayLatLng"":{""lat"":35.95457,""lng"":-86.661234}}]}]}"
3753,planning,I-70/71 Columbus Crossroads Phase 6R,"columbus,ohio,1-70,OH",United States,Columbus,Transport,Urban Highways,110,Public,2021-06-01,2024-06-01,,"Ohio DOT, City of Columbus,",39.96226,-83.000706,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Columbus""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Columbus"",""adminArea5Type"":""City"",""adminArea4"":""Franklin County"",""adminArea4Type"":""County"",""adminArea3"":""OH"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":"""",""geocodeQualityCode"":""A5XAX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":39.96226,""lng"":-83.000706},""displayLatLng"":{""lat"":39.96226,""lng"":-83.000706}}]}]}"
3521,planning,Mineville Energy Storage Project,"energy, generation, hydro,NY,New York",United States,"Moriah, New York",Energy,Generation — Hydro,260,Private,2020-06-01,2025-04-01,,Moriah Hydro Corporation,44.046176,-73.505326,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Moriah, New York United States""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Moriah"",""adminArea5Type"":""City"",""adminArea4"":""Essex County"",""adminArea4Type"":""County"",""adminArea3"":""NY"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":""12960"",""geocodeQualityCode"":""A5XAX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":44.046176,""lng"":-73.505326},""displayLatLng"":{""lat"":44.046176,""lng"":-73.505326}}]}]}"
1043,planning,Gateway Program,"Rail Infrastructure, Tunnel, Bridge,transportation,NJ",United States,"Hoboken 14th Street, Hoboken, NJ, US",Transport,Transit,30000,PPP,1111-11-11,2035-12-01,Gateway Program Development Corporation,"Amtrak, NJ TRANSIT, Port Authority of New York and New Jersey",39.78373,-100.445882,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Hoboken 14th Street, Hoboken, NJ, US United States""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":"""",""adminArea5Type"":""City"",""adminArea4"":"""",""adminArea4Type"":""County"",""adminArea3"":"""",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":"""",""geocodeQualityCode"":""A1XAX"",""geocodeQuality"":""COUNTRY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":39.78373,""lng"":-100.445882},""displayLatLng"":{""lat"":39.78373,""lng"":-100.445882}}]}]}"
3416,planning,Replacement of Saugatuck River Swing Bridge,"Bridge,Rehabilitation",United States,"Westport, CT",Transport,Bridges,50,,2022-06-01,2026-06-01,,CTDOT,41.141486,-73.357895,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Westport, CT""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Westport"",""adminArea5Type"":""City"",""adminArea4"":""Fairfield County"",""adminArea4Type"":""County"",""adminArea3"":""CT"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":""06880"",""geocodeQualityCode"":""A5XAX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":41.141486,""lng"":-73.357895},""displayLatLng"":{""lat"":41.141486,""lng"":-73.357895}}]}]}"
3528,planning,US 80 Expansion,"highway,expansion,TX",United States,"Dallas, TX",Transport,Highways,49,PPP,2020-06-01,2023-06-01,,TXDOT,32.776272,-96.796856,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Dallas, TX""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Dallas"",""adminArea5Type"":""City"",""adminArea4"":""Dallas County"",""adminArea4Type"":""County"",""adminArea3"":""TX"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":"""",""geocodeQualityCode"":""A5XAX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":32.776272,""lng"":-96.796856},""displayLatLng"":{""lat"":32.776272,""lng"":-96.796856}}]}]}"
3804,planning,"I-69 Reconstruction, Calhoun & Eaton Counties","I-69,I-94,Calhoun,Island Highway,Eaton County,Michigan,DOT,MI",United States,"Olivet, Michigan",Transport,Highways,113,,2020-08-01,2022-11-01,,Michigan DOT,42.441427,-84.924154,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Olivet, Michigan""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Olivet"",""adminArea5Type"":""City"",""adminArea4"":""Eaton County"",""adminArea4Type"":""County"",""adminArea3"":""MI"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":"""",""geocodeQualityCode"":""A5XAX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":42.441427,""lng"":-84.924154},""displayLatLng"":{""lat"":42.441427,""lng"":-84.924154}}]}]}"
3620,planning,Clearwater Memorial Bridge Rehabilitation,"bridge,rehab,idaho,ID",United States,"Lewiston, Idaho",Transport,Bridges,19,Public,2023-01-01,2025-01-01,,Idaho Transportation Department,46.416551,-117.017657,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Lewiston, Idaho""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Lewiston"",""adminArea5Type"":""City"",""adminArea4"":""Nez Perce County"",""adminArea4Type"":""County"",""adminArea3"":""ID"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":""83501"",""geocodeQualityCode"":""A5XAX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":46.416551,""lng"":-117.017657},""displayLatLng"":{""lat"":46.416551,""lng"":-117.017657}}]}]}"
3871,planning,Seward Highway Windy Corner improvement,"alaska,highway,AK",United States,"Rainbow, Alaska",Transport,Highways,80,Public,2021-06-01,2023-06-01,,Alaska Department of Transportation and Public Facilities,61.112238,-149.84023,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Rainbow, Alaska""},""locations"":[{""street"":""Rainbow Avenue"",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Anchorage"",""adminArea5Type"":""City"",""adminArea4"":""Anchorage"",""adminArea4Type"":""County"",""adminArea3"":""AK"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":""99515"",""geocodeQualityCode"":""B1CXX"",""geocodeQuality"":""STREET"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":61.112238,""lng"":-149.84023},""displayLatLng"":{""lat"":61.112238,""lng"":-149.84023}}]}]}"
3870,planning,Ambler Arctic Road Project,"alaska,road,mine,AK",United States,"Ambler, Alaska",Transport,Highways,520,PPP,2021-06-01,1111-11-11,Alaska Industrial Development and Export Authority (AIDEA),"BLM, USACE, US Coast Guard",67.087024,-157.854727,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Ambler, Alaska""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Ambler"",""adminArea5Type"":""City"",""adminArea4"":""Northwest Arctic"",""adminArea4Type"":""County"",""adminArea3"":""AK"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":""99786"",""geocodeQualityCode"":""A5XAX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":67.087024,""lng"":-157.854727},""displayLatLng"":{""lat"":67.087024,""lng"":-157.854727}}]}]}"
3517,planning,Assembly Street Railroad Consolidation Project,"transport, transit, rail,SC,South Carolina",United States,"Columbia, South Carolina",Transport,Transit,100,Public,2020-06-01,2021-04-01,,SCDOT,34.000749,-81.034331,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Columbia, South Carolina""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Columbia"",""adminArea5Type"":""City"",""adminArea4"":""Richland County"",""adminArea4Type"":""County"",""adminArea3"":""SC"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":"""",""geocodeQualityCode"":""A5XAX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":34.000749,""lng"":-81.034331},""displayLatLng"":{""lat"":34.000749,""lng"":-81.034331}}]}]}"
3697,planning,I-77 Widening Akron,"Ohio,akron,road,widening,OH",United States,"Akron, Ohio",Transport,Highways,65,Public,2021-04-01,2023-10-01,,Ohio DOT,41.083064,-81.518485,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Akron, Ohio""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Akron"",""adminArea5Type"":""City"",""adminArea4"":""Summit County"",""adminArea4Type"":""County"",""adminArea3"":""OH"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":"""",""geocodeQualityCode"":""A5XAX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":41.083064,""lng"":-81.518485},""displayLatLng"":{""lat"":41.083064,""lng"":-81.518485}}]}]}"
167,conceptual,Sepulveda Pass Transit Corridor,"Sepulveda Pass, transit, highway",United States,Los Angeles County,Transport,Other,10000,PPP,1111-11-11,1111-11-11,,,34.315507,-118.209681,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2017 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2017 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Los Angeles County United States""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":"""",""adminArea5Type"":""City"",""adminArea4"":""Los Angeles County"",""adminArea4Type"":""County"",""adminArea3"":""CA"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":"""",""geocodeQualityCode"":""A4XAX"",""geocodeQuality"":""COUNTY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":34.315507,""lng"":-118.209681},""displayLatLng"":{""lat"":34.315507,""lng"":-118.209681}}]}]}"
